g,fitted_C1,lower_C1,upper_C1,fitted_C2,lower_C2,upper_C2,fitted_C3,lower_C3,upper_C3,pinn_C1,pinn_C2,pinn_C3
2.4,0.3514601140119931,0.3536969243972074,0.3536969263827119,0.12332857093958634,0.0305328276455432,0.0306308178716152,0.0626383347183127,0.1348866979025964,0.1349927134705287,0.35219789936559665,0.18245453035914885,0.0006312364384585628
2.45,0.3523953006998989,0.3546132121501751,0.3546132139646874,0.12302541063635467,0.0304130029240306,0.0305063443244988,0.06239096045809825,0.1346184254978907,0.1347191180971647,0.35322746754490386,0.18163383846583175,0.0006326850225686293
2.5,0.3532942209847773,0.3554940781541051,0.355494079815627,0.1227222233262707,0.0302981860139849,0.0303871975699616,0.06214502413931396,0.1343579817100285,0.1344537394879811,0.3542152094278758,0.18084138514343823,0.0006340716978146945
2.545,0.3540741858493141,0.3563415318094982,0.3563415333338204,0.1224489340598145,0.0301880681922643,0.030273041335314,0.061924530835769875,0.1341050680356664,0.1341962433110067,0.3550702646613524,0.18015139449295553,0.0006352695746937477
2.6,0.3549926725462247,0.3571574336321567,0.3571574350331676,0.12211384344345573,0.0300823656538856,0.0301635671084516,0.06165562597183854,0.1338593970297321,0.1339463102599123,0.3560740314001342,0.17933674267608513,0.0006366726961958729
2.65,0.35579690892318006,0.3579435087767155,0.3579435100666607,0.12180768874967994,0.0299808170438733,0.0300584913299824,0.06141124444604875,0.1336206923443056,0.1337036355828554,0.3569492278879653,0.17862240430829954,0.0006378932985806905
2.7,0.35657428909788064,0.3587013591131203,0.3587013603028235,0.12149958280696195,0.0298831812972998,0.0299575529387217,0.061166461507491776,0.1333886886270699,0.1334679285443546,0.35779084340728995,0.17793200828575076,0.0006390645634566576
2.75,0.35732716562051975,0.3594324740335385,0.3594324751325891,0.12118904455477936,0.0297892356577889,0.0298605111367502,0.0609208173176183,0.1331631313973408,0.1332389119291873,0.3586006712763171,0.17726456106530827,0.0006401892506474267
2.8,0.3580578910412904,0.3601382401427265,0.3601382411596392,0.12087559293260972,0.0296987740145806,0.0297671435037599,0.060673852037878985,0.1329437767557489,0.1330163214295918,0.3593804085029401,0.1766191025918741,0.0006412699784633999
2.85,0.3587686916909428,0.3608199499641462,0.3608199509064986,0.12055874619641016,0.029611605371671,0.0296772442750871,0.0604251165389686,0.1327303910981748,0.1327999050842712,0.36013166067283814,0.17599470649572196,0.0006423092293134462
2.9,0.35946073923067173,0.361478809776506,0.3614788106510557,0.12023801689075066,0.029527552477441,0.0295906228066903,0.06017425117631943,0.1325227507979298,0.1325894227252469,0.36085594661871273,0.17539048006826416,0.0006433093552908393
2.95,0.3601346803444409,0.3621159466803743,0.3621159474931597,0.11991291471727435,0.0294464506135981,0.0295071022064621,0.05992094084770358,0.1323206418650569,0.1323846454188935,0.3615547028983114,0.17480556404241854,0.0006442725837424489
3.0,0.3607911578887231,0.3627324149816744,0.3627324157381023,0.11958294935689721,0.02936814650364,0.0294265181246532,0.0596648707756413,0.1321238595764932,0.1321853549276984,0.3622292880958786,0.1742391322045757,0.0006452010228101094
3.05,0.3614308147199914,0.36332920196786,0.3633292026727806,0.11924763049053536,0.02929249733821,0.0293487176608482,0.05940572618265286,0.1319322081110319,0.131991343183102,0.3628809869534772,0.17369039086462715,0.0006460966669217957
3.1,0.36205429369471887,0.3639072331431036,0.3639072338008763,0.11890646779910481,0.029219369929386,0.0292735584197766,0.05914319229125853,0.1317455001458802,0.1318024117465433,0.36351101433389155,0.1731585782090533,0.0006469614022051484
3.15,0.3626622376693783,0.3644673769806841,0.3644673775952338,0.11855897096352153,0.0291486398920621,0.0292009076032449,0.05887695432397854,0.1315635565187967,0.1316183713502948,0.36412051901449644,0.17264296356005665,0.000647797011794778
3.2,0.36325528950044267,0.3650104492437088,0.3650104498185758,0.1182046496647016,0.0290801909144049,0.0291306412136047,0.05860669750333316,0.1313862058715068,0.1314390414471132,0.3647105873107765,0.1721428465614212,0.0006486051810066217
3.25,0.3638340920443848,0.365537216919215,0.3655372174575979,0.117843013583561,0.029013914249218,0.029062643456263,0.05833210705184267,0.1312132841811836,0.1312642496284074,0.36528224652849806,0.17165755630934748,0.00064938750235591
3.3,0.36439928815767797,0.3660484018063218,0.3660484023111064,0.11747357240101582,0.0289497038881059,0.028996801044764,0.058052868192027304,0.131044639619485,0.1310938355584208,0.36583646824445654,0.17118645044412845,0.0006501454803995909
3.35,0.36495152069679493,0.3665446837884804,0.3665446842622957,0.11709583579798204,0.0288874702895061,0.0289330197415773,0.05776866614640735,0.1308801145581261,0.1309276359028579,0.3663741714169302,0.17072891421624414,0.0006508805363884387
3.4,0.36549143251820854,0.3670267038327455,0.3670267042779727,0.11670931345537568,0.0288271210580304,0.0288712011692064,0.057479186137503024,0.1307195686293029,0.130765503334266,0.36689622532826593,0.17028435953833473,0.0006515940127186015
3.45,0.36601966647839196,0.3674950667290996,0.3674950671479037,0.11631351505411285,0.0287685717884188,0.0288112559011197,0.05718411338783465,0.1305628644116412,0.1306072945552303,0.3674034523632665,0.1698522240325972,0.0006522871771763896
3.5,0.36653686543381814,0.3679503436057533,0.3679503440000947,0.11590795027510949,0.0287117372494652,0.0287530929363241,0.056883133119922435,0.1304098775119989,0.1304528785905187,0.3678966306281477,0.16943197008144065,0.0006529612269737082
3.55,0.3670436722409598,0.3683930742322804,0.3683930746039622,0.11549212879928165,0.0286565517743091,0.0286966439931769,0.05657593055628666,0.1302604709379896,0.130302115209778,0.36837649641576636,0.1690230838877357,0.0006536172925748015
3.6,0.3675407297562901,0.3688237691448383,0.3688237694955005,0.1150655603075454,0.028602939738683,0.0286418287912805,0.05626219091944758,0.1301145300465081,0.13015488446415,0.36884374652354374,0.16862507454969622,0.0006542564413174007
3.65,0.3680286808362819,0.3692429115936314,0.3692429119247732,0.1146277544808167,0.0285508368477951,0.0285885793489392,0.055941599431925455,0.1299719371480043,0.1300110644155702,0.3692990404310434,0.16823747315432167,0.000654879680833546
3.7,0.36850816833740807,0.3696509593401774,0.3696509596531702,0.11417822100001161,0.0285001776349091,0.0285368266762728,0.05561384131624053,0.1298325843927952,0.1298705431803759,0.36974300234450136,0.16785983189238762,0.0006554879622769818
3.75,0.36897983511614185,0.3700483463136345,0.3700483466097357,0.1137164695460462,0.028450903838126,0.0284865094438295,0.055278601794913104,0.1296963645464367,0.1297332100015605,0.37017622311579684,0.16749172319718866,0.0006560821833650755
3.8,0.36944432402895594,0.3704354841401547,0.370435484420519,0.11324200979983642,0.0284029609364728,0.0284375702575799,0.05493556609046341,0.1295631742750122,0.1295989582589058,0.37059926204337673,0.16713273890858457,0.0006566631912441451
3.85,0.3699022779323234,0.370812763555984,0.3708127638216712,0.11275435144229835,0.0283562909128019,0.0283899482663427,0.054584419425411715,0.1294329211119475,0.129467692271703,0.37101264856257343,0.16678248946336577,0.0006572317851874585
3.9,0.3703543396827171,0.371180555714266,0.3711805559662512,0.11225300415434801,0.0283108478445364,0.0283435950403938,0.05422484702227827,0.1293055071200489,0.1293393112544601,0.3714168838325684,0.16644060311252656,0.0006577887191354647
3.95,0.37080115213661,0.371539213395342,0.3715392136345233,0.1117374776169014,0.0282665824916328,0.0282984589877899,0.05385653410358334,0.1291808441121013,0.1292137243574565,0.3718124422270006,0.1661067251656793,0.0006583347040877501
4.0,0.37124335815047516,0.3718890721281105,0.3718890723553185,0.1112072815108746,0.0282234522961139,0.0282544957090599,0.05347916589184719,0.1290588428848219,0.1290908402636522,0.3721997727349122,0.16578051726257614,0.0006588704103561646
