# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_OPE_bounds.py.
n_value,g,C2_lower,C2_upper
3,3.25,0.13121328418118366,0.13126424962840744
3,3.3,0.131044639619485,0.13109383555842086
3,3.35,0.13088011455812615,0.13092763590285791
3,3.4,0.13071956862930298,0.13076550333426606
3,3.45,0.13056286441164125,0.13060729455523037
3,3.5,0.1304098775119989,0.13045287859051874
3,3.55,0.13026047093798965,0.130302115209778
3,3.6,0.1301145300465081,0.13015488446415
3,3.65,0.12997193714800437,0.13001106441557023
3,3.7,0.12983258439279527,0.1298705431803759
3,3.75,0.1296963645464367,0.12973321000156057
3,3.8,0.1295631742750122,0.1295989582589058
3,3.85,0.1294329211119475,0.12946769227170307
3,3.9,0.12930550712004896,0.12933931125446016
3,3.95,0.12918084411210137,0.1292137243574565
3,4.0,0.12905884288482197,0.12909084026365222
