# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
4,2.2,5.154254766394497
4,2.25,5.170497856145061
4,2.3,5.18613087789183
4,2.35,5.20118750665318
4,2.4,5.215698984299411
4,2.45,5.22969433570147
4,2.5,5.2432005621773845
4,2.55,5.256242814981258
4,2.6,5.268844551204369
4,2.65,5.281027674141974
4,2.7,5.292812659905949
4,2.75,5.304218671837208
4,2.8,5.3152636640686115
4,2.85,5.325964475425358
4,2.9,5.336336914699003
4,2.95,5.346395838208799
4,3.0,5.3561552204531315
4,3.05,5.365628218559109
4,3.1,5.374827231159371
4,3.15,5.383763952248747
4,3.2,5.3924494205151605
4,3.25,5.400894064582374
4,3.3,5.4091077445544
4,3.35,5.417099790213516
4,3.4,5.424879036171489
4,3.45,5.432453854271753
4,3.5,5.439832183473123
4,3.55,5.447021557450519
4,3.6,5.454029130110518
4,3.65,5.460861699203738
4,3.7,5.467525728197671
4,3.75,5.474027366557702
4,3.8,5.480372468569854
4,3.85,5.486566610826172
4,3.9,5.4926151084822745
4,3.95,5.498523030386545
4,4.0,5.504295213171226
5,0.0,3.0
5,0.01,3.000510049753301
5,0.02,3.0020371260388243
5,0.03,3.0045722285810252
5,0.04,3.008101031908941
5,0.05,3.012604736904944
5,0.05,3.012604736904944
5,0.06,3.018061018330207
5,0.07,3.0244449473109474
5,0.08,3.0317298196562126
5,0.09,3.0398878648317376
5,0.1,3.0488908362267075
5,0.1,3.0488908362267075
5,0.11,3.058710493472496
5,0.12,3.069318988566658
5,0.13,3.080689164962472
5,0.14,3.092794775798449
5,0.15,3.105610625393729
5,0.15,3.105610625393729
5,0.16,3.1191126373029445
5,0.17,3.1332778524301075
5,0.18,3.148084361634212
5,0.19,3.1635111786165497
5,0.2,3.1795380604123022
5,0.2,3.1795380604123022
5,0.21,3.196145284326539
5,0.22,3.213313391515153
5,0.23,3.231022908508474
5,0.24,3.249254058729254
5,0.25,3.2679864764075903
5,0.25,3.2679864764075903
5,0.3,3.368381931406392
5,0.35,3.477546380172358
5,0.4,3.591435314986158
5,0.45,3.70563764638085
5,0.5,3.816278157792126
5,0.55,3.920698760338067
5,0.6,4.017590943188858
5,0.65,4.106696557054261
5,0.7,4.188379730666723
5,0.75,4.2632811402026825
5,0.8,4.3321098631653285
5,0.85,4.395542992861789
5,0.9,4.4541880214519605
5,0.95,4.508575527711713
5,1.0,4.559164233380361
5,1.05,4.606349948975795
5,1.1,4.650474866877923
5,1.15,4.691835932789834
5,1.2,4.730691980161069
5,1.25,4.767269673014884
5,1.3,4.8017684155515346
5,1.35,4.8343644033247894
5,1.4,4.86521397378618
5,1.45,4.894456388520308
5,1.5,4.922216154701384
5,1.55,4.948604972007183
5,1.6,4.973723373850456
5,1.65,4.99766211792757
5,1.7,5.020503370133734
5,1.75,5.042321717266954
5,1.8,5.063185037140262
5,1.85,5.083155249342577
5,1.9,5.102288965617729
5,1.95,5.120638055424781
5,2.0,5.1382501395123095
5,2.05,5.1551690221396305
5,2.1,5.171435070796893
5,2.15,5.187085550826678
5,2.2,5.202154921164653
5,2.25,5.216675096443198
5,2.3,5.230675679898409
5,2.35,5.244184170854769
5,2.4,5.257226150007267
5,2.45,5.269825445257299
5,2.5,5.2820042804697405
5,2.55,5.293783409191033
5,2.6,5.305182235091239
5,2.65,5.316218920658156
5,2.7,5.326910485471734
5,2.75,5.337272895216389
5,2.8,5.3473211424427225
5,2.85,5.357069319964651
5,2.9,5.366530687669873
5,2.95,5.375717733428291
5,3.0,5.384642228702405
5,3.05,5.393315279392587
5,3.1,5.401747372391178
5,3.15,5.409948418263511
5,3.2,5.417927790429531
5,3.25,5.425694361177893
5,3.3,5.433256534808926
5,3.35,5.440622278171379
5,3.4,5.4477991488300885
5,3.45,5.454794321077265
5,3.5,5.461614609978401
5,3.55,5.468266493624628
5,3.6,5.474756133746305
5,3.65,5.481089394827458
5,3.7,5.487271861847214
5,3.75,5.493308856762323
5,3.8,5.4992054538343575
5,3.85,5.504966493893741
5,3.9,5.510596597629644
5,3.95,5.5161001779779975
5,4.0,5.521481451681725
6,0.0,3.0
6,0.01,3.000563897568498
6,0.02,3.0022554374379715
6,0.03,3.005073955972042
6,0.04,3.0090177190304117
6,0.05,3.014083146903825
6,0.05,3.014083146903825
6,0.06,3.0202639849580213
6,0.07,3.027550549604912
6,0.08,3.0359291266925696
6,0.09,3.045381553205525
6,0.1,3.05588498378239
6,0.1,3.05588498378239
6,0.11,3.067411829013038
6,0.12,3.0799298467947045
6,0.13,3.093402366260661
6,0.14,3.1077886232692418
6,0.15,3.1230441861961586
6,0.15,3.1230441861961586
6,0.16,3.139121450721712
6,0.17,3.1559701826349635
6,0.18,3.1735380885563593
6,0.19,3.1917713959564327
6,0.2,3.2106154258526756
6,0.2,3.2106154258526756
6,0.21,3.2300151439553915
6,0.22,3.249915678632841
6,0.23,3.270262796708729
6,0.24,3.2910033306518063
6,0.25,3.312085553066397
6,0.25,3.312085553066397
6,0.3,3.4209480799269203
6,0.35,3.531833092218234
6,0.4,3.640914337838366
6,0.45,3.7457928786332726
6,0.5,3.8451616366068953
6,0.55,3.938458405946417
6,0.6,4.025590582439925
6,0.65,4.106741268982039
6,0.7,4.182241139016377
6,0.75,4.252487665420562
6,0.8,4.317896637204475
6,0.85,4.378874759918881
6,0.9,4.435805447112695
6,0.95,4.48904251331571
6,1.0,4.538908388495683
6,1.05,4.585694782712845
6,1.1,4.629664576293022
6,1.15,4.6710542345155135
6,1.2,4.710076359225243
6,1.25,4.746922172790294
6,1.3,4.781763834541146
6,1.35,4.814756548510707
6,1.4,4.846040453291478
6,1.45,4.8757423015209636
6,1.5,4.903976944524186
6,1.55,4.930848640816938
6,1.6,4.956452207714282
6,1.65,4.980874034462315
6,1.7,5.004192973837587
6,1.75,5.026481127440854
6,1.8,5.047804538169666
6,1.85,5.068223801701117
6,1.9,5.087794607304705
